0.5	0.84	0.93	0.72	0.81	0.64	0.96
0.65	0.89	0.97	0.73	0.83	0.64	0.96
0.84	0.96	0.98	0.86	0.98	0.64	0.97
0.7	0.95	0.95	0.86	0.67	0.64	0.84
0.51	0.88	0.88	0.72	0.57	0.62	0.69
0.7	0.85	0.94	0.77	0.79	0.45	0.92
0.72	0.89	0.97	0.77	0.83	0.47	0.93
0.85	0.95	0.99	0.89	0.99	0.52	0.96
0.73	0.95	0.94	0.89	0.67	0.52	0.895
0.63	0.93	0.93	0.88	0.59	0.51	0.71
0.49	0.85	0.9	0.65	0.81	0.53	0.5
0.56	0.89	0.96	0.71	0.83	0.53	0.5
0.65	0.95	0.98	0.85	0.94	0.54	0.5
0.55	0.88	0.89	0.73	0.67	0.54	0.45
0.53	0.71	0.71	0.64	0.58	0.52	0.43
