0.93    0.76    0.50    0.50    0.51    0.77    0.50    0.87
0.50    0.99    0.50    0.50    0.50    0.52    0.50    0.5
0.55    0.55    0.97    0.82    0.50    0.50    0.50    0.50
0.50    0.58    0.97    0.99    0.50    0.50    0.50    0.50
0.79    0.50    0.50    0.50    0.97    0.71    0.51    0.73
0.70    0.55    0.50    0.50    0.50    0.99    0.50    0.57
0.50    0.50    0.50    0.50    0.53    0.51    0.95    0.53
0.87    0.80    0.50    0.50    0.53    0.83    0.50    0.98
0.98    0.91    0.50    0.50    0.72    0.73    0.51    0.99
0.63    0.99    0.50    0.80    0.50    0.52    0.50    0.50
0.50    0.50    0.99    0.99    0.50    0.52    0.50    0.50
0.50    0.50    0.99    0.99    0.50    0.53    0.50    0.50
0.99    0.76    0.56    0.59    0.99    0.76    0.50    0.96
0.62    0.50    0.50    0.50    0.50    0.99    0.51    0.50
0.50    0.50    0.50    0.50    0.52    0.52    0.99    0.50
0.93    0.68    0.50    0.50    0.57    0.55    0.51    0.99
0.99    0.96    0.50    0.50    0.57    0.93    0.50    0.94
0.69    0.99    0.50    0.50    0.50    0.87    0.50    0.76
0.50    0.50    0.99    0.99    0.51    0.52    0.50    0.50
0.50    0.50    0.66    0.85    0.50    0.51    0.50    0.50
0.99    0.57    0.63    0.66    0.99    0.78    0.50    0.89
0.53    0.61    0.50    0.50    0.51    0.99    0.50    0.62
0.50    0.50    0.50    0.50    0.50    0.52    0.99    0.50
0.97    0.85    0.50    0.50    0.57    0.75    0.50    0.99
0.93	0.81	0.5	0.51	0.52	0.83	0.51	0.85
0.89	0.99	0.5	0.5	0.52	0.92	0.5	0.82
0.67	0.5	0.86	0.79	0.6	0.51	0.5	0.56
0.5	0.6	0.62	0.79	0.54	0.71	0.52	0.58
0.83	0.8	0.59	0.57	0.72	0.8	0.5	0.87
0.62	0.59	0.5	0.5	0.5	0.99	0.5	0.6
0.53	0.55	0.5	0.52	0.5	0.55	0.99	0.54
0.97	0.95	0.5	0.5	0.61	0.97	0.52	0.99
0.98	0.93	0.51	0.5	0.98	0.98	0.96	0.5
0.84	0.99	0.51	0.51	0.87	0.99	0.99	0.48
0.5	0.68	0.94	0.94	0.5	0.71	0.5	0.5
0.5	0.53	0.81	0.99	0.5	0.57	0.5	0.5
0.96	0.56	0.5	0.5	0.98	0.61	0.73	0.73
0.86	0.99	0.51	0.5	0.91	0.99	0.99	0.49
0.82	0.93	0.5	0.5	0.89	0.96	0.99	0.49
0.52	0.19	0.49	0.5	0.47	0.32	0.13	0.92
0.64	0.59	0.54	0.52	0.66	0.57	0.56	0.63
0.5	0.52	0.5	0.5	0.51	0.52	0.52	0.5
0.52	0.52	0.54	0.53	0.52	0.35	0.52	0.53
0.52	0.5	0.52	0.52	0.51	0.5	0.51	0.5
0.57	0.55	0.52	0.5	0.59	0.5	0.5	0.5
0.61	0.55	0.5	0.5	0.5	0.64	0.52	0.63
0.53	0.5	0.5	0.5	0.5	0.52	0.56	0.52
0.66	0.64	0.55	0.53	0.6	0.65	0.46	0.82
0.97	0.96	0.5	0.49	0.97	0.96	0.96	0.49
0.95	0.96	0.5	0.49	0.96	0.96	0.95	0.5
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.96	0.97	0.5	0.5	0.98	0.97	0.96	0.5
0.97	0.99	0.5	0.49	0.99	0.99	0.97	0.5
0.97	0.97	0.5	0.49	0.97	0.97	0.97	0.49
0.37	0.189	0.6	0.56	0.17	0.19	0.15	0.86
